"","Cluster1","Cluster2"
"aht1975_americanus",0.0233,0.9767
"aht2456_terrestris",0.80355,0.19645
"aht2564_terrestris",0.999,0.001
"aht2885_terrestris",0.99665,0.00335
"aht3419_terrestris",0.81375,0.18625
"aht3421_terrestris",0.98495,0.01505
"aht3428_terrestris",0.999,0.001
"aht3460_americanus",0.001,0.999
"aht3462_americanus",0.0022,0.9978
"aht3463_americanus",0.001,0.999
"aht3833_terrestris",0.999,0.001
"aht3997_terrestris",0.95885,0.04115
"aht3998_terrestris",0.82735,0.17265
"aht5277_terrestris",0.997,0.003
"aht5278_terrestris",0.999,0.001
"kac100_terrestris",0.9989,0.0011
"kac101_americanus",0.001,0.999
"kac102_terrestris",0.995,0.005
"kac103_terrestris",0.98785,0.01215
"kac104_terrestris",0.99105,0.00895
"kac105_americanus",0.001,0.999
"kac106_americanus",0.001,0.999
"kac107_americanus",0.001,0.999
"kac108_terrestris",0.87595,0.12405
"kac110_americanus",0.00075,0.99925
"kac111_americanus",0.48435,0.51565
"kac112_terrestris",0.96315,0.03685
"kac116_americanus",9e-04,0.9991
"kac121_terrestris",0.9781,0.0219
"kac123_terrestris",0.99695,0.00305
"kac124_terrestris",0.999,0.001
"kac126_terrestris",0.999,0.001
"kac133_terrestris",0.99505,0.00495
"kac134_terrestris",0.9913,0.0087
"kac135_terrestris",0.9978,0.0022
"kac136_terrestris",0.90825,0.09175
"kac138_americanus",0.36565,0.63435
"kac139_americanus",0.001,0.999
"kac140_terrestris",0.99805,0.00195
"kac141_terrestris",0.99695,0.00305
"kac142_terrestris",0.97335,0.02665
"kac143_terrestris",0.99795,0.00205
"kac144_terrestris",0.999,0.001
"kac145_terrestris",0.999,0.001
"kac146_terrestris",0.999,0.001
"kac147_terrestris",0.94545,0.05455
"kac148_terrestris",0.99715,0.00285
"kac149_terrestris",0.96475,0.03525
"kac150_terrestris",0.999,0.001
"kac151_terrestris",0.9851,0.0149
"kac152_terrestris",0.99625,0.00375
"kac153_terrestris",0.9464,0.0536
"kac154_terrestris",0.999,0.001
"kac155_terrestris",0.976,0.024
"kac156_terrestris",0.9978,0.0022
"kac158_terrestris",0.9989,0.0011
"kac159_terrestris",0.999,0.001
"kac16_terrestris",0.999,0.001
"kac160_terrestris",0.999,0.001
"kac161_terrestris",0.92765,0.07235
"kac162_terrestris",0.988,0.012
"kac163_terrestris",0.999,0.001
"kac164_terrestris",0.999,0.001
"kac167_terrestris",0.9925,0.0075
"kac172_americanus",0.09875,0.90125
"kac173_americanus",0.21075,0.78925
"kac176_americanus",0.0742,0.9258
"kac177_americanus",0.1749,0.8251
"kac181_terrestris",0.9955,0.0045
"kac182_terrestris",0.9969,0.0031
"kac183_terrestris",0.999,0.001
"kac184_terrestris",0.999,0.001
"kac185_terrestris",0.999,0.001
"kac188_terrestris",0.999,0.001
"kac189_terrestris",0.641,0.359
"kac190_terrestris",0.92185,0.07815
"kac191_terrestris",0.96785,0.03215
"kac192_terrestris",0.98835,0.01165
"kac193_terrestris",0.9385,0.0615
"kac194_terrestris",0.99205,0.00795
"kac195_terrestris",0.99535,0.00465
"kac196_terrestris",0.9786,0.0214
"kac197_terrestris",0.99685,0.00315
"kac199_terrestris",0.9923,0.0077
"kac200_terrestris",0.9975,0.0025
"kac2018021701_americanus",0.001,0.999
"kac2018021704_americanus",0.001,0.999
"kac2018021705_americanus",0.0019,0.9981
"kac2018021706_americanus",0.001,0.999
"kac2018021707_americanus",0.001,0.999
"kac201803101_americanus",0.00085,0.99915
"kac201803104_americanus",0.0023,0.9977
"kac201803105_americanus",0.0018,0.9982
"kac206_americanus",0.3755,0.6245
"kac207_americanus",0.3708,0.6292
"kac208_americanus",0.28855,0.71145
"kac209_terrestris",0.68505,0.31495
"kac210_terrestris",0.61935,0.38065
"kac212_terrestris",0.9706,0.0294
"kac213_terrestris",0.9972,0.0028
"kac214_terrestris",0.99585,0.00415
"kac217_terrestris",0.99135,0.00865
"kac218_terrestris",0.999,0.001
"kac219_terrestris",0.999,0.001
"kac220_americanus",0.247,0.753
"kac221_americanus",0.2615,0.7385
"kac223_terrestris",0.998,0.002
"kac224_terrestris",0.95435,0.04565
"kac225_terrestris",0.998,0.002
"kac230_terrestris",0.999,0.001
"kac232_terrestris",0.9988,0.0012
"kac233_terrestris",0.999,0.001
"kac234_terrestris",0.99645,0.00355
"kac236_terrestris",0.999,0.001
"kac237_terrestris",0.999,0.001
"kac238_terrestris",0.999,0.001
"kac239_terrestris",0.9888,0.0112
"kac242_americanus",0.0907,0.9093
"kac38_terrestris",0.999,0.001
"kac39_terrestris",0.99665,0.00335
"kac40_terrestris",0.8937,0.1063
"kac45_terrestris",0.93425,0.06575
"kac48_terrestris",0.999,0.001
"kac49_terrestris",0.99705,0.00295
"kac70_americanus",0.03805,0.96195
"kac74_terrestris",0.999,0.001
"kac75_terrestris",0.8955,0.1045
"kac78_americanus",0.001,0.999
"kac81_americanus",0.001,0.999
"kac82_americanus",0.001,0.999
"kac83_americanus",0.001,0.999
"kac84_americanus",8e-04,0.9992
"kac86_americanus",0.000950000000000001,0.99905
"kac87_americanus",0.002,0.998
"kac89_americanus",0.001,0.999
"kac90_americanus",0.001,0.999
"kac91_americanus",0.00085,0.99915
"kac92_americanus",0.15445,0.84555
"kac93_americanus",0.009,0.991
"kac94_americanus",0.0013,0.9987
"kac95_americanus",0.01025,0.98975
"kac96_americanus",0.001,0.999
"kac97_americanus",0.001,0.999
"kac98_americanus",0.00205,0.99795
"kac99_americanus",0.001,0.999
"t1020_terrestris",0.998,0.002
"t1030_terrestris",0.999,0.001
"t1040_terrestris",0.999,0.001
"t2004_americanus",0.0777,0.9223
"t2015_americanus",0.001,0.999
"t2020_americanus",0.0312,0.9688
"t2040_americanus",0.05085,0.94915
"t2043_americanus",0.0399,0.9601
"utep19947_terrestris",0.97645,0.02355
